Mass,Radius,Lambda,K2,C,Id
2.5551768358410883e-08,49.999,7086592487757175.0,2.5990196687770583e-30,7.544946585238698e-10,1874
2.6914957652269923e-08,49.999,-7112738055062577.0,-3.382771144930511e-30,7.947470209571341e-10,1874
2.837106660544191e-08,49.999,6998349997613339.0,4.331529467599304e-30,8.377431225179644e-10,1874
2.992431495012109e-08,49.999,-1.4571296428272592e+16,-1.177298461512256e-29,8.836075637958897e-10,1874
3.157888658594319e-08,49.999,5.18431216498835e+16,5.482043909349305e-29,9.324638873137864e-10,1874
3.333896616134637e-08,49.999,1.3079894278972926e+16,1.8139786585369656e-29,9.84435657705229e-10,1874
3.5208820149541354e-08,49.999,-1.5783239186631892e+16,-2.875549160117395e-29,1.0396488557322174e-09,1874
3.719294237555444e-08,49.999,2.635169098568168e+16,6.315074429715626e-29,1.0982361754193336e-09,1874
3.929629024674904e-08,49.999,1.4906257619936708e+16,4.703202579598098e-29,1.1603439994874669e-09,1874
4.152464569887777e-08,49.999,-9577013330759034.0,-3.981319840808935e-29,1.2261430573976894e-09,1874
4.388506224614859e-08,49.999,7057180336390593.0,3.8679611829804203e-29,1.2958416258813444e-09,1874
4.63836047464191e-08,49.999,-9501384097383184.0,-6.868733386702223e-29,1.3696187885460351e-09,1874
4.90232894894198e-08,49.999,-1.2803760149321304e+16,-1.2207228520035049e-28,1.4475636106360252e-09,1874
5.180596949175695e-08,49.999,8197247940647485.0,1.0299932932752051e-28,1.529730808173783e-09,1874
5.473230851497851e-08,49.999,-9435084855782740.0,-1.5603856233336559e-28,1.6161399807633525e-09,1874
5.7801610927850556e-08,49.999,-6842963336819525.0,-1.4866585166255595e-28,1.706770587750054e-09,1874
6.101168213741631e-08,49.999,-8744872476000501.0,-2.4893489197953296e-28,1.80155782701764e-09,1874
6.435874728588881e-08,49.999,8.977227941626444e+17,3.337701251555065e-26,1.9003902342636395e-09,1874
6.783746729886426e-08,49.999,-8523983425659143.0,-4.12342425282312e-28,2.0031101568722874e-09,1874
7.144110638208327e-08,49.999,-6684562563433865.0,-4.188718251074365e-28,2.109518699772279e-09,1874
7.516192464711604e-08,49.999,-8209502180689699.0,-6.6309168627648315e-28,2.2193873189193826e-09,1874
7.89918948342623e-08,49.999,-5.958703585055969e+16,-6.170661718957801e-27,2.332478984747525e-09,1874
8.29238744208549e-08,49.999,1.5735197316520992e+16,2.0774827091957277e-27,2.448582792276466e-09,1874
8.69534052702848e-08,49.999,-8.54550589869194e+16,-1.4303359328678683e-26,2.5675671012920594e-09,1874
9.10813640608883e-08,49.999,-7202273730783546.0,-1.5201433780897458e-27,2.689457798422295e-09,1874
9.531774978304334e-08,49.999,-1.284070297687417e+16,-3.401927111736612e-27,2.814550134654304e-09,1874
9.96869712916936e-08,49.999,8763186175364830.0,2.9048341632420818e-27,2.943564856607945e-09,1874
1.0423508962717246e-07,49.999,-9902999175853288.0,-4.103021209749374e-27,3.0778620583639915e-09,1874
1.090391406333172e-07,49.999,7877242595658351.0,4.088402254793469e-27,3.219716460476999e-09,1874
1.1417617272002256e-07,49.999,-8.490341693774448e+16,-5.547149518090027e-26,3.3714031545530713e-09,1874
1.1967221235380888e-07,49.999,-8373357041150344.0,-6.920436806453333e-27,3.533690652176001e-09,1874
1.2554722882899801e-07,49.999,-9179615493879430.0,-9.641119013351043e-27,3.707168608264736e-09,1874
1.318212851060201e-07,49.999,1.9340945762138724e+16,2.5922250986135584e-26,3.892429443518556e-09,1874
1.3851437402071136e-07,49.999,-8.435148201451077e+16,-1.448218976798765e-25,4.090063507992124e-09,1874
1.4564638256499622e-07,49.999,-6963438550408363.0,-1.5367016518023128e-26,4.30065802637262e-09,1874
1.5323637331783039e-07,49.999,-2.4388469080880524e+16,-6.938429217139465e-26,4.524775880015181e-09,1874
1.6130336073883222e-07,49.999,9984142123355826.0,3.6710908523355837e-26,4.762978529403306e-09,1874
1.6986556789840649e-07,49.999,1.0495896488386886e+16,4.9981998165758366e-26,5.015804066816537e-09,1874
1.7894065711379751e-07,49.999,-6.242582962528016e+16,-3.856352813719413e-25,5.2837740265702716e-09,1874
1.8854587922753228e-07,49.999,-6433428447904630.0,-5.161726614802202e-26,5.567397792921562e-09,1874
1.9869849657362937e-07,49.999,9698037986231730.0,1.0114026438247443e-25,5.867185089449146e-09,1874
2.0941647626070118e-07,49.999,-1.0223104382897024e+16,-1.386450382114468e-25,6.183666450372297e-09,1874
2.2071942476915857e-07,49.999,-2.26863661063601e+16,-4.0016123313992894e-25,6.517420817411802e-09,1874
2.32630734772183e-07,49.999,2.5570189377981124e+16,5.865927687027077e-25,6.869138931291211e-09,1874
2.4517958859471344e-07,49.999,6998743546870584.0,2.087896364899155e-25,7.239682490033966e-09,1874
2.5840458059651414e-07,49.999,8505105563104081.0,3.2994993414911933e-25,7.630191110980157e-09,1874
2.723572158277746e-07,49.999,-6.152705195383907e+17,-3.104758569945172e-23,8.042185639368744e-09,1874
2.8709773883327096e-07,49.999,1.4002034167914408e+16,9.19617636197876e-25,8.477444980933427e-09,1874
3.0265736075908254e-07,49.999,1.3226150684661864e+16,1.1309853191348631e-24,8.936890740890445e-09,1874
3.19063060511252e-07,49.999,-5.38848365752605e+16,-5.999519950221249e-24,9.421319554533935e-09,1874
3.3633815929029e-07,49.999,-7702812799432478.0,-1.1163422375031031e-24,9.931420052136714e-09,1874
3.5450335596331066e-07,49.999,-6872304384247517.0,-1.2956014914952927e-24,1.0467803431501463e-08,1874
3.7357514140102763e-07,49.999,-1.5144638747926692e+16,-3.710360126318996e-24,1.1030956636376779e-08,1874
3.935644562555299e-07,49.999,2.078845805018089e+17,6.609504802463737e-23,1.1621202723212066e-08,1874
4.1448262754616456e-07,49.999,7948110521052318.0,3.273880761497687e-24,1.223887615714002e-08,1874
4.3633523607094126e-07,49.999,-7089381848116011.0,-3.7755227849695886e-24,1.2884141728410352e-08,1874
4.5912472906969874e-07,49.999,1.5023710784077972e+16,1.0320433461258421e-23,1.355707169931664e-08,1874
4.82856552422391e-07,49.999,1.406450146946756e+16,1.243031937043339e-23,1.4257826876237472e-08,1874
5.075394699241925e-07,49.999,9916543036872416.0,1.124544661182425e-23,1.4986666037217278e-08,1874
5.331916927514809e-07,49.999,-7637254757986402.0,-1.108208426004865e-23,1.5744126923327818e-08,1874
5.598521539926629e-07,49.999,-1.0746349754488524e+16,-1.9901922775225404e-23,1.6531359153915614e-08,1874
5.875904309784989e-07,49.999,-1.7217904509029402e+18,-4.060889443866878e-21,1.7350417213964907e-08,1874
6.165281527205261e-07,49.999,-9489523689647886.0,-2.846271184856982e-23,1.8204892574650566e-08,1874
6.468655040362585e-07,49.999,2.6019690406617024e+16,9.922917528294152e-23,1.910069630926558e-08,1874
6.789138262604116e-07,49.999,8752583990158738.0,4.250860486539151e-23,2.004702172962796e-08,1874
7.130564415727024e-07,49.999,1.730745170358614e+16,1.0742861193591175e-22,2.105518760370059e-08,1874
7.494536072431743e-07,49.999,9792821797668550.0,7.796486320341309e-23,2.2129926020963202e-08,1874
7.8818064556272e-07,49.999,1.3838855911970968e+17,1.4174126903313126e-21,2.327346110404203e-08,1874
8.293097074845161e-07,49.999,-7502703843702603.0,-9.909890305609201e-23,2.4487923332049742e-08,1874
8.729082574101521e-07,49.999,8978881477884259.0,1.532260288138608e-22,2.5775304799229126e-08,1874
9.190310655187477e-07,49.999,1.03553282623952e+16,2.2860310665896094e-22,2.7137222763807177e-08,1874
9.677294296628403e-07,49.999,9862504539235892.0,2.818540355251491e-22,2.8575191952874033e-08,1874
1.0190496219067363e-06,49.999,-4.728567762218489e+16,-1.749740225829253e-21,3.0090578691643204e-08,1874
1.0730364976331674e-06,49.999,3.861476963606797e+16,1.8496655879705845e-21,3.168470747344144e-08,1874
1.1297351174203966e-06,49.999,-2.5924062635271452e+16,-1.6063992940284572e-21,3.335890885062552e-08,1874
1.1892006114032501e-06,49.999,-1.1391804577351038e+16,-9.122953126913543e-22,3.511481071022334e-08,1874
1.2515037838332376e-06,49.999,-7243476400652810.0,-7.488161161289758e-22,3.695450376583308e-08,1874
1.3167381327117847e-06,49.999,-2.0168725066165628e+16,-2.688083831288506e-21,3.888074883391444e-08,1874
1.385030402171852e-06,49.999,-9187634837023864.0,-1.576767125304307e-21,4.0897288425356565e-08,1874
1.4565485796345123e-06,49.999,-8858406126336146.0,-1.955454682646093e-21,4.300908288615666e-08,1874
1.5315073637660826e-06,49.999,-7855741213892157.0,-2.228691276507932e-21,4.522247185569532e-08,1874
1.6101678547556236e-06,49.999,-1.0430437688890928e+16,-3.801242638359384e-21,4.7545165121225724e-08,1874
1.6928271880152179e-06,49.999,8941144544359053.0,4.185270588768071e-21,4.998593652094684e-08,1874
1.7798087101728162e-06,49.999,-7169262627185464.0,-4.311301818417159e-21,5.255433385993497e-08,1874
1.8715803896586705e-06,49.999,5.1620046990055706e+17,3.9914263853678356e-19,5.5264175347404837e-08,1874
1.968786441062953e-06,49.999,1.988330847781576e+16,1.9803821231894474e-20,5.813448340326924e-08,1874
2.0721797807689303e-06,49.999,1.0467717125304714e+16,1.3466552701688398e-20,6.118749020267634e-08,1874
2.182468368982359e-06,49.999,2.8495423203717596e+16,4.750969036955791e-20,6.444410045117133e-08,1874
2.3000049239765767e-06,49.999,1.3847306487014574e+16,3.001072117014918e-20,6.791472924212321e-08,1874
2.4247738899353485e-06,49.999,6.720568860421519e+16,1.8968350586483797e-19,7.15989172421468e-08,1874
2.5566563740129752e-06,49.999,-1.7661627502606366e+16,-6.496206524481087e-20,7.54931537737908e-08,1874
2.6954574797992356e-06,49.999,1.7727073756547192e+16,8.493110539057413e-20,7.959168392027545e-08,1874
2.84091431064274e-06,49.999,8905135193055449.0,5.54879254109788e-20,8.388674484826437e-08,1874
2.9927194710436147e-06,49.999,1.1270885681255436e+16,9.110776421804749e-20,8.836925975886614e-08,1874
3.1505531321131816e-06,49.999,1.7654641836167102e+16,1.845271398081668e-19,9.302978471909089e-08,1874
3.3141412457191104e-06,49.999,6906919346977255.0,9.298368457225305e-20,9.786022761378164e-08,1874
3.483327926771752e-06,49.999,3.935413600749587e+16,6.795626303532075e-19,1.0285598545555077e-07,1874
3.6581860459242083e-06,49.999,1.959155635838935e+16,4.3218051240663095e-19,1.080192099748679e-07,1874
3.839141230232971e-06,49.999,-1.423938597009946e+16,-3.998793745764401e-19,1.133624691214789e-07,1874
4.027141001164394e-06,49.999,-7064316044679372.0,-2.5195419710030506e-19,1.1891374138498067e-07,1874
4.22384178514513e-06,49.999,7344177164464852.0,3.324670838809157e-19,1.2472193785730318e-07,1874
4.431661245907695e-06,49.999,-1.1142987017783684e+16,-6.413597501365688e-19,1.3085844750639182e-07,1874
4.652175718186109e-06,49.999,4.580022832333212e+16,3.360589701821251e-18,1.3736981647027437e-07,1874
4.886162273097009e-06,49.999,7728488307880375.0,7.247717932461916e-19,1.4427899016699676e-07,1874
5.134417150497027e-06,49.999,3.617942493691914e+16,4.346950651821186e-18,1.5160948003069172e-07,1874
5.397763378471115e-06,49.999,-3.787863276243309e+16,-5.84427718059125e-18,1.5938558850043893e-07,1874
5.677052803477603e-06,49.999,3.4878418374100696e+16,6.925302520740435e-18,1.6763246896655097e-07,1874
5.973156197330179e-06,49.999,-1.5257221599539592e+16,-3.9062686711812885e-18,1.76375833648746e-07,1874
6.286947314610311e-06,49.999,-1.6790022683642764e+16,-5.552872295705287e-18,1.856414828421477e-07,1874
6.619310091902599e-06,49.999,4.890522086730865e+16,2.0925996902100104e-17,1.954555174968821e-07,1874
6.971113913868759e-06,49.999,-2.34370911794634e+16,-1.2992176309309673e-17,2.058436088727331e-07,1874
7.343197884463578e-06,49.999,1.1795889449861194e+16,8.480552569542876e-18,2.1683053409834994e-07,1874
7.736348129847488e-06,49.999,-2.132295669333055e+16,-1.9897327363753674e-17,2.2843950596983558e-07,1874
8.151266086116494e-06,49.999,-4.058353639294621e+16,-4.9174792697441906e-17,2.406912365483009e-07,1874
8.588537134389294e-06,49.999,-8308259123302548.0,-1.30729415719933e-17,2.536030110142103e-07,1874
9.048665280692764e-06,49.999,2.027079299768463e+16,4.140574989748761e-17,2.6718971169781217e-07,1874
9.532289401104021e-06,49.999,1.1186556379045688e+16,2.964488769752242e-17,2.814702033829791e-07,1874
1.0040059072712126e-05,49.999,-4.497585883739804e+16,-1.5449986482496697e-16,2.964636668339197e-07,1874
1.0572603033473916e-05,49.999,7.206040145441482e+16,3.2053363334195902e-16,3.1218866747528064e-07,1874
1.1130544607869432e-05,49.999,-8.125630225070862e+17,-4.67419068580218e-15,3.286636108821328e-07,1874
1.1714525774301973e-05,49.999,-1.2388774893682242e+16,-9.202783841248133e-17,3.4590745344408426e-07,1874
1.2325250830502007e-05,49.999,-1.556429818542099e+16,-1.4906499590693308e-16,3.6394099172081716e-07,1874
1.2963552724952502e-05,49.999,-5.354400533453937e+16,-6.600826921046511e-16,3.8278882108171693e-07,1874
1.3630475298680854e-05,49.999,1.9749484954889708e+16,3.1288019440656117e-16,4.02481764148078e-07,1874
1.4327392465171702e-05,49.999,3.819724145112487e+16,7.764886031737657e-16,4.2306038994709646e-07,1874
1.5056143969200698e-05,49.999,1.301299545277101e+16,3.3901067262305134e-16,4.445790226095643e-07,1874
1.5819331589148634e-05,49.999,1.8068791305194188e+16,6.027497612578874e-16,4.6711448765547843e-07,1874
1.6620457520613233e-05,49.999,-2.8554992864872468e+16,-1.219450644634897e-15,4.907701981963903e-07,1874
1.746425783806008e-05,49.999,1.0691119879667176e+16,5.848455238944832e-16,5.156860014176898e-07,1874
1.8354967575280833e-05,49.999,6699895305495224.0,4.700060224125349e-16,5.419869497356971e-07,1874
1.9295260423690964e-05,49.999,-1.0542530777243194e+16,-9.494353516493194e-16,5.697519921242452e-07,1874
2.028782767316379e-05,49.999,8135736255920619.0,9.415467655820467e-16,5.990605972058369e-07,1874
2.1335489613953142e-05,49.999,1.2719791775729208e+16,1.893478457317477e-15,6.299960427365225e-07,1874
2.2441210165755785e-05,49.999,-2.1451903295613188e+16,-4.111161084530057e-15,6.626458475740238e-07,1874
2.3608077409053253e-05,49.999,-1.0473870637322668e+16,-2.5862922976680617e-15,6.971011968056403e-07,1874
2.483935739922426e-05,49.999,-7492646112701571.0,-2.3856366641879462e-15,7.334585307756609e-07,1874
2.6138466133568762e-05,49.999,-1.4428495603040064e+17,-5.927735850666318e-14,7.718187173254106e-07,1874
2.750900836780752e-05,49.999,-1.457764245042147e+16,-7.73266630947587e-15,8.122881979699518e-07,1874
2.8954848114702302e-05,49.999,-8053694726007202.0,-5.519108318824597e-15,8.549810695869776e-07,1874
3.0480144892704788e-05,49.999,-7812671278330836.0,-6.920731263462536e-15,9.000201547698129e-07,1874
3.2089986156679765e-05,49.999,-9258178902119702.0,-1.0608171094380325e-14,9.475556762923622e-07,1874
3.378831691540469e-05,49.999,-9894635027436390.0,-1.4672356563777417e-14,9.977041226891438e-07,1874
3.5580786975610914e-05,49.999,-1.2161195168851682e+16,-2.3351850651163443e-14,1.0506323219049287e-06,1874
3.7469764386447865e-05,49.999,-8954631504563978.0,-2.2269980053487704e-14,1.1064101978842867e-06,1874
3.9456385372791034e-05,49.999,1.8923064567263904e+16,6.093197469298424e-14,1.1650713011661638e-06,1874
4.154184973427977e-05,49.999,7044955050931268.0,2.9347740958699205e-14,1.2266510595302145e-06,1874
4.3727659308548535e-05,49.999,-3.1099642737179444e+16,-1.6741865618251093e-13,1.2911938193581566e-06,1874
4.601593463305423e-05,49.999,1.247010992533033e+16,8.663209506568403e-14,1.3587621960495183e-06,1874
4.8409771753972195e-05,49.999,1.440244191699072e+16,1.2893434124598643e-13,1.429447609903242e-06,1874
5.091361016892137e-05,49.999,7410451873491016.0,8.536531637339865e-14,1.5033811507598842e-06,1874
5.3533603693437624e-05,49.999,-9520692687991626.0,-1.4095102649323913e-13,1.5807445289764822e-06,1874
5.627786760078525e-05,49.999,3.3752691443580652e+16,6.415992898328749e-13,1.6617773729906647e-06,1874
5.9156427312631806e-05,49.999,1.1820890311599792e+16,2.883547916570314e-13,1.7467757142547957e-06,1874
6.218072956365907e-05,49.999,-8703889236705513.0,-2.7243300474344127e-13,1.836077552865534e-06,1874
6.53624873575881e-05,49.999,1.18249957392199e+16,4.750191796900425e-13,1.9300287513330143e-06,1874
6.871147609818434e-05,49.999,-7353173819748691.0,-3.7921763244682934e-13,2.0289179585610025e-06,1874
7.223811081887816e-05,49.999,6629630325070563.0,4.391253502866371e-13,2.1330527104891384e-06,1874
7.596261412404749e-05,49.999,3.4744772201620136e+16,2.9590770658093742e-12,2.2430301417959525e-06,1874
7.991580083055211e-05,49.999,8245485453445716.0,9.049963076863909e-13,2.3597601548568098e-06,1874
8.413211286993085e-05,49.999,-9017078003819782.0,-1.279799994211913e-12,2.484259753779246e-06,1874
8.863120023117294e-05,49.999,1.113322768540972e+16,2.0503194974887324e-12,2.6171091650088223e-06,1874
9.339822822683424e-05,49.999,2.5608479516069604e+16,6.1283601525614625e-12,2.757870348708904e-06,1874
9.840957657653155e-05,49.999,1.1972792406750002e+16,3.720913435840651e-12,2.9058458433522884e-06,1874
